Student_ID,Name,Age,Gender,City,Class,Attendance_Percentage,Study_Hours_per_day,Math_Score,Science_Score,English_Score,Total_Score,Parent_Education,Internet_Access,Result,Average_Score,Study_Efficiency,Attendance_Category
1650,Nadia Chowdhury,11.0,male,mymensingh,8,81.4,4.8,40.0,84.0,31.0,155.0,graduate,yes,pass,51.666666666666664,26.724137931034484,High
2422,Imran Akter,16.0,female,mymensingh,7,84.3,2.4,46.0,67.0,53.0,166.0,secondary,no,pass,55.333333333333336,48.82352941176471,High
7538,Imran Rahman,13.0,female,rangpur,8,91.9,1.8,43.0,63.0,89.0,195.0,illiterate,yes,fail,65.0,69.64285714285715,High
4794,Karim Khan,13.0,male,chattogram,7,96.4,4.3,51.0,31.0,36.0,118.0,graduate,yes,pass,39.333333333333336,22.264150943396228,High
9637,Rafi Das,18.0,male,rangpur,6,84.0,3.7,37.0,53.0,97.0,187.0,unknown,yes,pass,62.333333333333336,39.78723404255319,High
1016,Mim Das,12.0,other,rangpur,7,77.3,3.8,65.0,99.0,84.0,248.0,higher secondary,yes,fail,82.66666666666667,51.66666666666667,Medium
8922,Priya Talukder,14.0,male,sylhet,10,74.5,3.5,46.0,57.0,38.0,141.0,secondary,no,pass,47.0,31.333333333333332,Medium
3045,Rakib Islam,16.0,female,rangpur,6,80.4,2.6,90.0,64.0,76.0,230.0,illiterate,no,pass,76.66666666666667,63.888888888888886,High
STU-03499,Riya Rahman,18.0,male,barishal,7,84.0,4.3,97.0,62.0,51.0,210.0,primary,yes,pass,70.0,39.62264150943396,High
5525,Mim Hossain,11.0,male,mymensingh,10,83.2,2.6,62.0,60.0,36.0,158.0,primary,yes,fail,52.666666666666664,43.888888888888886,High
9555,Arif Ahmed,17.0,female,chattogram,9,78.7,1.7,40.0,65.0,81.0,186.0,unknown,yes,pass,62.0,68.88888888888889,Medium
2847,Karim Das,14.0,male,rangpur,9,98.0,3.1,33.0,84.0,83.0,200.0,higher secondary,yes,pass,66.66666666666667,48.78048780487805,High
836,Priya Talukder,17.0,female,mymensingh,10,89.6,2.2,51.0,96.0,85.0,232.0,higher secondary,yes,fail,77.33333333333333,72.5,High
4864,Nusrat Hossain,15.0,male,rangpur,7,84.9,2.2,53.0,90.0,34.0,177.0,graduate,no,fail,59.0,55.3125,High
STU-03298,Anik Ahmed,15.0,female,rangpur,7,80.7,4.0,66.0,37.0,62.0,165.0,illiterate,yes,pass,55.0,33.0,High
7962,Shila Ahmed,14.0,other,khulna,7,75.9,3.5,66.0,79.0,99.0,244.0,graduate,yes,fail,81.33333333333333,54.22222222222222,Medium
3146,Anik Ahmed,16.0,other,sylhet,10,92.9,5.9,61.0,74.0,80.0,215.0,illiterate,no,fail,71.66666666666667,31.15942028985507,High
6116,Shila Talukder,12.0,male,mymensingh,7,84.0,0.8,72.0,84.0,85.0,241.0,primary,yes,fail,80.33333333333333,133.88888888888889,High
1902,Mim Khan,11.0,female,sylhet,10,84.0,0.0,61.0,37.0,47.0,145.0,postgraduate,yes,pass,48.333333333333336,145.0,High
1412,Anik Islam,18.0,female,sylhet,8,85.0,5.8,65.0,65.0,99.0,229.0,illiterate,yes,fail,76.33333333333333,33.6764705882353,High
624,Nadia Akter,17.0,female,chattogram,8,77.9,5.5,91.0,42.0,35.0,168.0,secondary,no,pass,56.0,25.846153846153847,Medium
3504,Sabbir Khan,14.0,male,chattogram,10,87.4,3.2,61.0,63.0,62.0,186.0,graduate,yes,pass,62.0,44.285714285714285,High
3067,Riya Chowdhury,13.0,other,khulna,8,84.0,2.7,50.0,30.0,87.0,167.0,primary,no,fail,55.666666666666664,45.13513513513513,High
642,Rupa Islam,11.0,male,sylhet,9,84.0,1.3,69.0,52.0,85.0,206.0,secondary,no,pass,68.66666666666667,89.56521739130436,High
2171,Sadia Islam,11.0,male,khulna,10,82.8,2.4,42.0,72.0,66.0,180.0,postgraduate,no,pass,60.0,52.94117647058824,High
6822,Tanvir Rahman,18.0,male,sylhet,10,84.0,4.7,79.0,76.0,83.0,238.0,graduate,no,pass,79.33333333333333,41.75438596491228,High
7419,Arif Islam,15.0,male,khulna,9,74.2,4.8,93.0,76.0,31.0,200.0,illiterate,no,pass,66.66666666666667,34.48275862068966,Medium
1720,Imran Sarker,12.0,male,sylhet,6,80.1,7.5,57.0,95.0,90.0,242.0,primary,no,pass,80.66666666666667,28.470588235294116,High
1303,Riya Das,18.0,female,rajshahi,9,91.7,3.2,49.0,45.0,50.0,144.0,graduate,no,pass,48.0,34.285714285714285,High
7828,Sadia Talukder,16.0,other,khulna,9,82.8,1.9,61.0,78.0,59.0,198.0,secondary,yes,fail,66.0,68.27586206896552,High
5793,Farhan Rahman,12.0,female,barishal,6,81.1,3.0,37.0,97.0,89.0,223.0,graduate,yes,pass,74.33333333333333,55.75,High
1523,Mim Sarker,16.0,male,chattogram,9,82.1,2.4,48.0,92.0,75.0,215.0,secondary,no,fail,71.66666666666667,63.23529411764706,High
8338,Tanvir Sarker,18.0,female,chattogram,8,96.3,3.0,79.0,50.0,57.0,186.0,primary,no,pass,62.0,46.5,High
3436,Rakib Akter,12.0,other,rangpur,10,78.3,9.7,33.0,41.0,71.0,145.0,primary,no,fail,48.333333333333336,13.55140186915888,Medium
3657,Arif Khan,11.0,other,mymensingh,7,88.2,3.5,65.0,96.0,59.0,220.0,illiterate,yes,fail,73.33333333333333,48.888888888888886,High
5549,Tanvir Islam,18.0,male,rajshahi,10,76.9,2.9,49.0,89.0,64.0,202.0,primary,yes,pass,67.33333333333333,51.794871794871796,Medium
66,Lima Khan,18.0,female,dhaka,6,80.1,3.3,37.0,55.0,63.0,155.0,secondary,no,pass,51.666666666666664,36.04651162790698,High
2418,Kabir Das,13.0,female,mymensingh,8,79.2,1.6,72.0,57.0,50.0,179.0,graduate,no,pass,59.666666666666664,68.84615384615384,Medium
3693,Mim Rahman,12.0,female,khulna,7,79.3,4.4,52.0,52.0,50.0,154.0,primary,no,fail,51.333333333333336,28.518518518518515,Medium
4000,Tanvir Khan,12.0,female,rajshahi,10,97.0,2.4,53.0,50.0,89.0,192.0,graduate,yes,pass,64.0,56.470588235294116,High
5498,Sabbir Ahmed,12.0,other,khulna,10,90.2,4.7,91.0,86.0,65.0,242.0,unknown,yes,pass,80.66666666666667,42.45614035087719,High
439,Sadia Ahmed,18.0,male,khulna,7,87.1,5.6,76.0,64.0,48.0,188.0,unknown,no,pass,62.666666666666664,28.484848484848488,High
3567,Sabbir Akter,13.0,female,dhaka,9,85.3,4.6,66.0,57.0,79.0,202.0,illiterate,no,pass,67.33333333333333,36.07142857142858,High
6932,Sabbir Akter,14.0,other,dhaka,7,90.5,3.0,72.0,70.0,55.0,197.0,postgraduate,yes,pass,65.66666666666667,49.25,High
1819,Mim Das,14.0,male,chattogram,9,87.4,1.7,30.0,87.0,64.0,181.0,graduate,yes,pass,60.333333333333336,67.03703703703704,High
3606,Bristi Rahman,14.0,male,rajshahi,6,84.7,2.0,97.0,47.0,49.0,193.0,illiterate,yes,pass,64.33333333333333,64.33333333333333,High
2795,Sadia Sarker,18.0,female,rajshahi,7,84.0,4.9,74.0,81.0,94.0,249.0,higher secondary,no,pass,83.0,42.20338983050847,High
5078,Tamim Talukder,17.0,other,chattogram,6,84.0,1.4,72.0,98.0,88.0,258.0,primary,yes,pass,86.0,107.5,High
2466,Arif Ahmed,15.0,male,mymensingh,9,80.9,1.9,75.0,90.0,90.0,255.0,postgraduate,no,fail,85.0,87.93103448275862,High
4313,Nusrat Akter,18.0,female,mymensingh,9,84.0,1.8,67.0,42.0,83.0,192.0,unknown,no,pass,64.0,68.57142857142857,High
5234,Sabbir Ahmed,17.0,female,chattogram,9,80.6,3.3,45.0,87.0,93.0,225.0,postgraduate,no,fail,75.0,52.32558139534884,High
6476,Farhan Akter,12.0,other,rangpur,10,73.9,2.9,55.0,82.0,64.0,201.0,unknown,no,fail,67.0,51.53846153846154,Medium
4467,Kabir Talukder,15.0,other,chattogram,6,92.1,1.7,92.0,60.0,48.0,200.0,graduate,yes,fail,66.66666666666667,74.07407407407408,High
4382,Rafi Khan,17.0,male,chattogram,8,65.1,3.9,32.0,68.0,74.0,174.0,higher secondary,yes,fail,58.0,35.51020408163265,Medium
5121,Nadia Talukder,17.0,female,sylhet,8,87.6,4.3,78.0,56.0,57.0,191.0,unknown,yes,fail,63.666666666666664,36.0377358490566,High
4563,Bristi Islam,16.0,other,dhaka,9,93.1,1.6,99.0,43.0,84.0,226.0,higher secondary,yes,pass,75.33333333333333,86.92307692307692,High
379,Zayed Chowdhury,13.0,female,chattogram,8,93.6,3.5,52.0,88.0,75.0,215.0,illiterate,yes,pass,71.66666666666667,47.77777777777778,High
2760,Lima Ahmed,11.0,female,khulna,6,73.9,4.1,81.0,85.0,92.0,258.0,illiterate,yes,pass,86.0,50.58823529411765,Medium
6960,Fatema Chowdhury,16.0,female,khulna,8,88.7,2.7,49.0,64.0,55.0,168.0,postgraduate,yes,pass,56.0,45.4054054054054,High
6782,Bristi Sarker,15.0,male,mymensingh,6,84.8,0.4,37.0,93.0,80.0,210.0,higher secondary,no,fail,70.0,150.0,High
1290,Arif Sarker,11.0,male,sylhet,7,71.2,2.7,88.0,30.0,32.0,150.0,postgraduate,yes,pass,50.0,40.54054054054054,Medium
6744,Nadia Chowdhury,11.0,male,mymensingh,6,88.2,0.7,92.0,37.0,54.0,183.0,secondary,yes,pass,61.0,107.64705882352942,High
12,Karim Das,13.0,male,mymensingh,10,89.8,5.0,70.0,57.0,36.0,163.0,illiterate,yes,pass,54.333333333333336,27.166666666666668,High
2067,Momo Das,16.0,male,dhaka,6,99.3,0.2,35.0,32.0,43.0,110.0,secondary,no,pass,36.666666666666664,91.66666666666667,High
6211,Arif Islam,18.0,male,barishal,9,63.9,3.2,34.0,78.0,40.0,152.0,higher secondary,yes,pass,50.666666666666664,36.19047619047619,Medium
4480,Priya Sarker,14.0,male,mymensingh,10,78.9,4.6,80.0,39.0,55.0,174.0,secondary,yes,pass,58.0,31.071428571428573,Medium
1056,Zayed Sarker,15.0,male,sylhet,7,68.1,1.5,90.0,83.0,46.0,219.0,secondary,yes,fail,73.0,87.6,Medium
3701,Rakib Akter,16.0,male,dhaka,6,88.4,4.2,95.0,48.0,30.0,173.0,graduate,yes,pass,57.666666666666664,33.26923076923077,High
5578,Tanvir Islam,16.0,female,dhaka,8,77.1,4.2,65.0,42.0,66.0,173.0,graduate,no,pass,57.666666666666664,33.26923076923077,Medium
9026,Fatema Chowdhury,18.0,male,mymensingh,7,81.8,2.3,79.0,90.0,98.0,267.0,higher secondary,yes,pass,89.0,80.9090909090909,High
4642,Karim Das,14.0,male,mymensingh,8,72.3,3.1,61.0,77.0,41.0,179.0,higher secondary,yes,fail,59.666666666666664,43.65853658536586,Medium
8723,Farhan Rahman,15.0,other,sylhet,7,75.8,2.8,89.0,63.0,58.0,210.0,secondary,yes,pass,70.0,55.26315789473684,Medium
9737,Anik Islam,16.0,female,sylhet,9,91.5,0.6,54.0,75.0,88.0,217.0,illiterate,yes,fail,72.33333333333333,135.625,High
1112,Tanvir Talukder,16.0,other,dhaka,9,83.2,1.3,56.0,37.0,52.0,145.0,primary,yes,fail,48.333333333333336,63.04347826086957,High
9272,Ayesha Ahmed,18.0,other,mymensingh,9,77.0,2.3,45.0,89.0,76.0,210.0,primary,yes,fail,70.0,63.63636363636364,Medium
2730,Tanvir Chowdhury,12.0,other,rangpur,8,87.2,3.6,31.0,71.0,63.0,165.0,primary,yes,pass,55.0,35.869565217391305,High
738,Zayed Islam,14.0,female,chattogram,7,75.4,5.4,78.0,36.0,40.0,154.0,secondary,yes,fail,51.333333333333336,24.0625,Medium
1749,Arif Khan,17.0,female,rajshahi,8,79.4,2.9,33.0,86.0,59.0,178.0,graduate,yes,fail,59.333333333333336,45.64102564102564,Medium
9312,Riya Islam,15.0,male,mymensingh,7,65.9,4.4,60.0,52.0,69.0,181.0,secondary,no,fail,60.333333333333336,33.51851851851852,Medium
7788,Priya Chowdhury,16.0,male,khulna,8,90.5,3.4,84.0,52.0,99.0,235.0,graduate,no,pass,78.33333333333333,53.40909090909091,High
5592,Hasan Islam,13.0,male,sylhet,7,91.3,2.8,45.0,59.0,72.0,176.0,graduate,yes,fail,58.666666666666664,46.31578947368421,High
2435,Imran Rahman,13.0,male,rangpur,7,84.0,2.8,84.0,64.0,88.0,236.0,primary,no,fail,78.66666666666667,62.10526315789474,High
1546,Hasan Hossain,11.0,male,mymensingh,6,98.8,4.6,33.0,57.0,45.0,135.0,higher secondary,yes,fail,45.0,24.107142857142858,High
2894,Momo Islam,12.0,male,rangpur,6,79.4,2.7,50.0,90.0,65.0,205.0,unknown,yes,fail,68.33333333333333,55.4054054054054,Medium
3818,Karim Das,15.0,other,sylhet,8,84.0,1.8,92.0,59.0,92.0,243.0,secondary,no,fail,81.0,86.78571428571429,High
1196,Rafi Hossain,15.0,male,khulna,10,72.5,1.2,88.0,64.0,64.0,216.0,primary,yes,pass,72.0,98.18181818181817,Medium
8004,Nusrat Das,16.0,male,sylhet,8,64.1,4.0,31.0,57.0,83.0,171.0,primary,yes,pass,57.0,34.2,Medium
3449,Kabir Ahmed,13.0,male,dhaka,6,72.9,5.4,65.0,31.0,42.0,138.0,unknown,yes,fail,46.0,21.5625,Medium
1436,Farhan Talukder,14.0,other,dhaka,8,92.4,4.0,71.0,55.0,42.0,168.0,unknown,no,pass,56.0,33.6,High
9474,Ayesha Ahmed,11.0,male,khulna,10,96.3,3.4,86.0,70.0,43.0,199.0,primary,yes,fail,66.33333333333333,45.22727272727273,High
8437,Ayesha Talukder,11.0,other,sylhet,7,99.2,0.3,90.0,39.0,79.0,208.0,primary,yes,pass,69.33333333333333,160.0,High
3030,Anik Sarker,12.0,male,khulna,10,70.7,4.2,87.0,62.0,74.0,223.0,primary,no,fail,74.33333333333333,42.88461538461538,Medium
6355,Lima Islam,15.0,male,barishal,6,73.9,2.0,50.0,92.0,75.0,217.0,graduate,no,fail,72.33333333333333,72.33333333333333,Medium
3775,Hasan Hossain,17.0,female,sylhet,8,81.0,3.3,77.0,48.0,41.0,166.0,postgraduate,yes,fail,55.333333333333336,38.6046511627907,High
8923,Zayed Talukder,12.0,other,sylhet,7,75.5,2.6,89.0,79.0,37.0,205.0,graduate,no,fail,68.33333333333333,56.94444444444444,Medium
37,Rakib Chowdhury,13.0,male,rangpur,6,73.1,4.0,62.0,97.0,64.0,223.0,graduate,no,pass,74.33333333333333,44.6,Medium
3553,Rakib Talukder,13.0,female,rajshahi,10,89.2,2.5,68.0,34.0,86.0,188.0,secondary,no,fail,62.666666666666664,53.714285714285715,High
3284,Tanvir Sarker,18.0,male,barishal,8,83.9,4.4,72.0,58.0,39.0,169.0,unknown,yes,fail,56.333333333333336,31.296296296296294,High
6451,Fatema Ahmed,17.0,female,khulna,9,99.9,3.0,79.0,96.0,97.0,272.0,postgraduate,yes,fail,90.66666666666667,68.0,High
9031,Tamim Hossain,14.0,other,rangpur,6,84.0,2.7,99.0,68.0,72.0,239.0,secondary,no,pass,79.66666666666667,64.5945945945946,High
5069,Bristi Chowdhury,15.0,male,rajshahi,9,86.3,1.9,77.0,91.0,80.0,248.0,primary,yes,fail,82.66666666666667,85.51724137931035,High
5358,Hasan Akter,18.0,male,mymensingh,6,95.3,3.9,33.0,80.0,44.0,157.0,graduate,no,pass,52.333333333333336,32.04081632653061,High
832,Jannat Sarker,18.0,male,barishal,6,79.7,4.5,56.0,67.0,94.0,217.0,primary,yes,pass,72.33333333333333,39.45454545454545,Medium
STU-00375,Rafi Ahmed,12.0,male,sylhet,10,96.9,1.3,65.0,76.0,68.0,209.0,postgraduate,yes,fail,69.66666666666667,90.86956521739131,High
4077,Rafi Das,17.0,other,rangpur,7,90.1,3.5,66.0,58.0,64.0,188.0,primary,no,pass,62.666666666666664,41.77777777777778,High
8576,Priya Islam,16.0,male,chattogram,10,85.2,0.6,34.0,85.0,96.0,215.0,primary,yes,fail,71.66666666666667,134.375,High
8053,Nusrat Hossain,17.0,male,khulna,6,92.9,1.2,90.0,74.0,87.0,251.0,primary,no,pass,83.66666666666667,114.09090909090908,High
3731,Mitu Hossain,17.0,male,barishal,8,83.6,2.9,81.0,91.0,95.0,267.0,secondary,yes,pass,89.0,68.46153846153847,High
4905,Mitu Sarker,17.0,male,sylhet,9,78.4,4.0,49.0,56.0,31.0,136.0,unknown,no,pass,45.333333333333336,27.2,Medium
5427,Mim Islam,15.0,female,barishal,9,77.0,1.9,90.0,35.0,97.0,222.0,higher secondary,no,pass,74.0,76.55172413793103,Medium
1763 ,Tanvir Sarker,18.0,other,sylhet,9,87.3,3.1,67.0,76.0,36.0,179.0,graduate,yes,fail,59.666666666666664,43.65853658536586,High
1731,Bristi Ahmed,16.0,other,dhaka,9,77.5,2.2,37.0,37.0,89.0,163.0,postgraduate,yes,pass,54.333333333333336,50.9375,Medium
3753,Rakib Hossain,18.0,other,rangpur,6,84.0,4.3,38.0,61.0,62.0,161.0,primary,yes,pass,53.666666666666664,30.37735849056604,High
5464,Arif Ahmed,16.0,other,mymensingh,10,68.7,4.1,88.0,38.0,87.0,213.0,primary,yes,fail,71.0,41.76470588235294,Medium
3582,Rahim Islam,11.0,male,khulna,10,83.5,3.5,65.0,50.0,65.0,180.0,secondary,no,fail,60.0,40.0,High
7180,Jannat Hossain,13.0,female,rangpur,6,80.6,3.0,82.0,86.0,39.0,207.0,primary,yes,pass,69.0,51.75,High
1544,Zayed Chowdhury,15.0,other,chattogram,9,92.3,4.9,40.0,60.0,41.0,141.0,graduate,no,fail,47.0,23.89830508474576,High
7171,Rakib Talukder,11.0,other,mymensingh,8,88.8,3.8,75.0,38.0,93.0,206.0,secondary,yes,pass,68.66666666666667,42.91666666666667,High
949,Mitu Hossain,12.0,male,barishal,6,77.8,0.7,44.0,99.0,79.0,222.0,primary,yes,fail,74.0,130.58823529411765,Medium
534,Mim Talukder,11.0,other,barishal,6,83.7,1.5,82.0,88.0,51.0,221.0,primary,no,pass,73.66666666666667,88.4,High
2756,Tanvir Akter,16.0,female,rangpur,8,96.7,2.9,73.0,59.0,69.0,201.0,illiterate,yes,fail,67.0,51.53846153846154,High
7168,Hasan Ahmed,14.0,male,barishal,9,94.5,3.0,53.0,58.0,98.0,209.0,secondary,no,pass,69.66666666666667,52.25,High
1658,Lima Rahman,14.0,male,mymensingh,7,91.6,1.8,74.0,57.0,56.0,187.0,postgraduate,yes,pass,62.333333333333336,66.78571428571429,High
STU-02972,Hasan Talukder,18.0,female,sylhet,6,66.2,3.0,35.0,87.0,77.0,199.0,graduate,yes,fail,66.33333333333333,49.75,Medium
3254,Priya Das,15.0,male,mymensingh,7,88.6,4.7,75.0,74.0,50.0,199.0,secondary,yes,fail,66.33333333333333,34.91228070175438,High
2702,Zayed Das,17.0,female,barishal,7,78.8,4.7,37.0,31.0,86.0,154.0,graduate,yes,pass,51.333333333333336,27.017543859649123,Medium
6839,Kabir Islam,11.0,other,mymensingh,6,63.0,4.0,52.0,58.0,35.0,145.0,higher secondary,no,pass,48.333333333333336,29.0,Medium
STU-08125,rupa sarker,17.0,other,sylhet,6,82.4,3.0,71.0,71.0,77.0,219.0,secondary,yes,fail,73.0,54.75,High
935,Bristi Ahmed,18.0,male,dhaka,9,84.9,4.8,58.0,97.0,80.0,235.0,primary,yes,fail,78.33333333333333,40.51724137931035,High
5055,Ayesha Ahmed,16.0,male,dhaka,7,84.0,4.7,71.0,62.0,70.0,203.0,graduate,no,pass,67.66666666666667,35.614035087719294,High
923,Rahim Chowdhury,15.0,female,rangpur,8,75.3,4.5,59.0,78.0,38.0,175.0,higher secondary,yes,fail,58.333333333333336,31.818181818181817,Medium
9572,Sohan Akter,15.0,female,barishal,7,68.0,1.3,44.0,77.0,59.0,180.0,graduate,yes,fail,60.0,78.26086956521739,Medium
6089,Sabbir Das,18.0,other,mymensingh,8,75.5,0.5,86.0,50.0,83.0,219.0,graduate,yes,pass,73.0,146.0,Medium
4892,Arif Das,18.0,female,khulna,10,81.9,4.8,51.0,92.0,75.0,218.0,secondary,yes,fail,72.66666666666667,37.58620689655172,High
4649,Mim Talukder,18.0,other,mymensingh,10,84.2,4.9,91.0,90.0,41.0,222.0,postgraduate,yes,fail,74.0,37.62711864406779,High
1210,Fatema Talukder,16.0,female,rangpur,8,84.0,3.7,92.0,91.0,78.0,261.0,primary,no,fail,87.0,55.53191489361702,High
4712,Priya Das,15.0,other,rajshahi,10,78.2,0.7,39.0,90.0,50.0,179.0,primary,no,fail,59.666666666666664,105.29411764705883,Medium
4092,Rahim Chowdhury,17.0,male,chattogram,9,84.9,2.8,69.0,89.0,44.0,202.0,primary,no,fail,67.33333333333333,53.15789473684211,High
9774,Rupa Akter,17.0,other,barishal,6,75.3,2.6,71.0,71.0,80.0,222.0,primary,yes,fail,74.0,61.666666666666664,Medium
4783,Riya Das,11.0,male,rangpur,10,85.0,3.4,62.0,97.0,93.0,252.0,primary,yes,fail,84.0,57.272727272727266,High
7134,Ayesha Chowdhury,15.0,other,rangpur,10,84.0,4.0,41.0,54.0,63.0,158.0,primary,no,pass,52.666666666666664,31.6,High
6594,Jannat Islam,17.0,female,chattogram,9,87.0,0.5,60.0,76.0,45.0,181.0,graduate,no,pass,60.333333333333336,120.66666666666667,High
3945,Sohan Talukder,11.0,female,khulna,7,84.0,0.8,44.0,64.0,77.0,185.0,postgraduate,no,fail,61.666666666666664,102.77777777777777,High
346,Rahim Akter,15.0,other,rangpur,10,75.2,1.7,65.0,84.0,43.0,192.0,graduate,no,pass,64.0,71.1111111111111,Medium
5812,Riya Akter,15.0,female,mymensingh,8,93.7,4.5,35.0,31.0,91.0,157.0,unknown,no,fail,52.333333333333336,28.545454545454547,High
3683,Hasan Khan,14.0,male,dhaka,9,90.0,3.0,76.0,90.0,56.0,222.0,postgraduate,no,fail,74.0,55.5,High
6739,Jannat Sarker,17.0,other,rangpur,6,90.1,3.6,48.0,35.0,80.0,163.0,illiterate,yes,fail,54.333333333333336,35.434782608695656,High
8932,Rahim Sarker,15.0,female,rajshahi,10,86.3,4.2,95.0,74.0,81.0,250.0,unknown,no,pass,83.33333333333333,48.07692307692307,High
STU-03063,Farhan Khan,18.0,male,barishal,10,94.0,2.1,57.0,99.0,61.0,217.0,graduate,yes,fail,72.33333333333333,70.0,High
2316,Jannat Hossain,12.0,other,sylhet,9,85.4,0.5,97.0,61.0,95.0,253.0,graduate,yes,fail,84.33333333333333,168.66666666666666,High
5609,Kabir Hossain,15.0,female,rangpur,9,89.5,3.8,71.0,87.0,39.0,197.0,higher secondary,yes,fail,65.66666666666667,41.04166666666667,High
572,Hasan Sarker,15.0,other,rangpur,7,81.7,3.0,75.0,59.0,86.0,220.0,graduate,yes,pass,73.33333333333333,55.0,High
6890,Riya Chowdhury,15.0,male,chattogram,10,65.4,3.3,80.0,97.0,75.0,252.0,unknown,yes,fail,84.0,58.6046511627907,Medium
1876,Shila Das,18.0,female,rajshahi,9,99.7,3.0,97.0,95.0,42.0,234.0,graduate,yes,fail,78.0,58.5,High
57,Sadia Hossain,14.0,male,dhaka,8,73.0,2.5,30.0,63.0,77.0,170.0,postgraduate,yes,fail,56.666666666666664,48.57142857142857,Medium
3088,Sabbir Chowdhury,13.0,male,barishal,8,84.0,2.5,87.0,94.0,87.0,268.0,secondary,yes,fail,89.33333333333333,76.57142857142857,High
6767,Nusrat Ahmed,12.0,other,sylhet,6,81.8,2.3,96.0,98.0,67.0,261.0,postgraduate,yes,pass,87.0,79.0909090909091,High
9063,Mim Das,11.0,male,barishal,10,83.4,1.0,62.0,60.0,91.0,213.0,primary,no,fail,71.0,106.5,High
